fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
05091,50.933364839319474,small/mid,NA,25.435515345041686,Has State,5,39005,10.228079884508274,30.7,47.5,11.997186161028331
05093,37.50962772785623,rural,NA,36.524242855111616,Has State,9,34888,9.820063095886868,31,47,13.406377590573157
05095,39.3494785221849,rural,NA,41.142982264068316,No Prison,6,30801,10.294893180233272,31.2,50.7,11.69305724725944
05097,2.53234241673548,rural,NA,0.906858114490837,No Prison,6.7,37813,10.122896621707394,28.4,43.6,5.019815059445178
05101,0.707338638373121,rural,NA,0.7698887938408896,No Prison,4.8,33679,9.665710803886073,22.3,47.1,6.857142857142858
05103,34.61657390228819,rural,NA,41.50668608499934,No Prison,6.3,37987,10.294795631034216,31.8,45.4,10.694910875742703
05105,12.2920892494929,small/mid,NA,2.26537216828479,No Prison,6.1,43020,10.780247326610967,24.5,45.2,7.119578841814992
05107,60.09948242253142,rural,NA,63.634087304899424,No Prison,7.6,28224,10.184917898179803,36.6,51.3,17.83544434146844
05109,5.6397515527950315,rural,NA,3.9988324576765906,No Prison,5.8,36266,10.24976495471095,26.6,48.3,6.793960923623446
05111,29.9917149958575,small/mid,NA,8.519765063023824,No Prison,5.6,32756,9.989793690483962,30.5,44,9.794534211051268
05113,4.035664007508212,rural,NA,0.5716207128446537,No Prison,5.8,34723,9.86077508147066,26.3,46.5,6.834845283956755
05115,12.406444247114043,rural,NA,3.502647764242122,No Prison,5.3,41074,10.824648608426429,29,43.3,8.168687503019177
05119,29.959825626121887,small/mid,NA,37.73157204335719,Has State,4.6,46473,11.663230536513696,30,46.2,11.136120912249394
05121,5.733908321354416,rural,NA,1.3091453151299794,No Prison,7.1,34730,9.818872763617163,31.5,44.6,7.625602202339985
05123,30.22370848708487,rural,NA,53.54770278568637,Has Both,7.2,31625,10.14538351675033,29.6,49.8,15.224534501642935
05125,11.28012048192771,small/mid,NA,7.358334799496542,Has State,4.1,56926,11.278713570559452,26.2,37.4,8.12826483730883
05127,4.178814382896015,rural,NA,0.7217950729640672,No Prison,4.8,36028,10.004521390778873,31.7,44.3,7.471663196854037
05129,1.7643710870802503,rural,NA,0.68684267010088,No Prison,5.6,30427,9.84622544893199,34.5,47.8,6.358217428328129
05131,7.360900627841524,small/mid,NA,7.186640281866885,No Prison,4.8,41452,10.844896634516475,30.1,46,9.415011037527595
05133,32.00836820083682,rural,NA,4.452118723165951,No Prison,6,41848,10.091072255035929,31,44.4,8.61948142957253
05139,51.521809895833336,rural,NA,34.18316929522906,No Prison,6.1,42195,10.105997138745973,28.7,47.3,10.72877869809328
05141,3.7334328915437744,rural,NA,0.8406807463604674,No Prison,6.7,38306,10.269497408987982,32.1,48.3,6.124542124542125
05143,10.17515163906495,small/mid,NA,3.669022379269729,Has State,3.5,46418,10.543287819065261,29.3,44.1,8.006516932386827
05145,17.21981721981722,rural,NA,4.84988002106947,No Prison,6.2,42508,10.756493685002662,29.6,44.6,7.666613647208526
05149,15.758724143375968,rural,NA,1.739259699717556,No Prison,5.1,37415,10.584059781010302,25.6,48.1,8.545821762181268
06001,0,urban,329.79,11.768040255582042,Has Federal,4.7,81462,9.851191653949217,31.2,45.5,8.925241207114453
06005,0,rural,498.88,3.360903242746488,Has State,6.6,55879,7.78372605070967,36.4,40.9,7.196319439675891
06007,0,small/mid,619.09,2.2447863570999385,No Prison,7.2,45369,7.717653324019427,36.7,45,9.129268263855236
06011,0,rural,467.53,1.417439703153989,No Prison,15.4,51118,6.678241225655212,28.4,44,9.985074626865671
06013,0,suburban,252.17,9.90191010104401,Has Both,5,83036,9.426625866662802,32.5,44.9,8.50558281497508
06015,0,rural,583.2,5.271050877582759,Has State,8.5,38963,6.08233510310219,31.2,44.4,10.422272821362037
06017,0,suburban,336.58,1.2002887407879936,Has State,5.7,75575,7.572351902522154,31.7,43.4,6.639105803092941
06019,0,small/mid,673.74,5.29655666273453,Has State,10.2,46608,13.315800465722818,34.7,45.3,13.832787465379212
06023,0,rural,425.17,2.0173573823664777,Has State,5.6,40739,6.158242677844204,36.5,46.5,9.734801964998464
06025,0,small/mid,317.45,3.413511014983168,No Prison,24.5,39925,8.664765067555495,34,45.6,15.925901538596607
06033,0,rural,858.16,2.33146849606359,Has State,7.6,37993,5.714843317200124,38.6,40.8,11.17448586118252
06037,0,urban,620.69,8.607790092380126,No Prison,6.6,59045,11.864964508000082,35.2,49.1,11.031119419501259
06041,0,suburban,160.71,3.4891750025970216,Has State,3.6,99868,7.905397402232958,32.2,50.3,6.919165281772134
06043,0,rural,529.4,1.8018018018018018,Has State,7.1,44595,8.288999770351234,28,43.8,7.093660877448693
06045,0,rural,637.83,1.2146422628951747,Has State,5.8,43237,5.6291093614190935,36.6,45,10.160301045956917
